mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-977408,NbTlO3,5,Nb1 Tl1 O3,4.108551,4.108551,4.108551,90,90,90,cubic,Pm-3m,0.000501,-7.82580354,-2.362471506,0.090674097,FALSE,8.267313088,0.1116,TRUE,69.35312693,"{'voigt': 176.002, 'reuss': 176.002, 'vrh': 176.002}","{'voigt': 95.643, 'reuss': 91.59, 'vrh': 93.616}"
mp-1247532,NbWN3,10,Nb1 W1 N3,3.883672464,5.51368725,6.872204799,90.76915642,90.03014633,110.5723445,mono,C2/m,0.0005549,-21.39146021,-0.693836002,0.103244425,FALSE,7.684837011,0,FALSE,137.7580793,,
mp-571330,Nd3AlC,5,Nd3 Al1 C1,5.100122,5.100122,5.100122,90,90,90,cubic,Pm-3m,1.11E-05,-5.641865188,-0.186128464,0.026321534,FALSE,5.904594406,0,FALSE,132.6605199,"{'voigt': 63.965, 'reuss': 63.965, 'vrh': 63.965}","{'voigt': 43.532, 'reuss': 43.474, 'vrh': 43.503}"
mp-21910,Nd3AlN,5,Nd3 Al1 N1,5.540037,5.540037,5.540037,90,90,90,cubic,Pm-3m,0.0067213,-19.81035965,1.012615539,1.8483892,FALSE,4.626233407,0,FALSE,170.0348708,,
mp-10280,Nd3GaC,5,Nd3 Ga1 C1,5.502933,5.502933,5.502933,90,90,90,cubic,Pm-3m,0.0009683,-4.100074448,1.212166315,1.506786414,FALSE,5.126462467,0,FALSE,166.6413117,,
mp-636273,Nd3GaN,5,Nd3 Ga1 N1,5.505059,5.505059,5.505059,90,90,90,cubic,Pm-3m,0.0006871,-20.9716487,0.79346201,1.733940115,FALSE,5.140391999,0,FALSE,166.8345267,"{'voigt': 38.83, 'reuss': 38.83, 'vrh': 38.83}","{'voigt': 18.228, 'reuss': 3.206, 'vrh': 10.717}"
mp-20385,Nd3InC,5,Nd3 In1 C1,5.13119013,5.13119536,5.13119536,90,90,90,cubic,Pm-3m,5.70E-06,-5.574446192,-0.315989885,0,TRUE,6.877592474,0,FALSE,135.0999558,,
mp-606671,Nd3InC,5,Nd3 In1 C1,6.150728,6.150728,6.150728,90,90,90,cubic,Pm-3m,0.0036514,-3.572369758,1.686086549,2.002076434,FALSE,3.993117408,0,FALSE,232.6909891,,
mp-21022,Nd3InN,5,Nd3 In1 N1,5.02826716,5.02826405,5.02826405,90,90,90,cubic,Pm-3m,0.0235942,-25.03867119,-1.046397588,0,TRUE,7.334720591,0,FALSE,127.1318878,,
mp-623448,Nd3InN,5,Nd3 In1 N1,6.111999,6.111999,6.111999,90,90,90,cubic,Pm-3m,0.7720531,-22.80408924,1.188184364,2.234581952,FALSE,4.084023636,0,FALSE,228.3230849,,
